Roll,Pitch,Z,Area
63,-27,100,0.5002641310089805
-64,-26,100,0.6680753653812291
-63,-26,100,0.6795210424370488
-62,-26,100,0.6909667194928685
-61,-26,100,0.7020602218700476
-60,-26,100,0.7129776369079063
-59,-26,100,0.7237189646064448
-58,-26,100,0.7342842049656629
-57,-26,100,0.7444972706462405
-56,-26,100,0.754710336326818
-55,-26,100,0.764571227328755
-54,-26,100,0.7742560309913717
-53,-26,100,0.783764747314668
-52,-26,100,0.7930973762986441
-51,-26,100,0.8020778306039795
-50,-26,100,0.811058284909315
-49,-26,100,0.8196865645360099
-48,-26,100,0.8281387568233844
-47,-26,100,0.8364148617714386
-46,-26,100,0.8445148793801726
-45,-26,100,0.8524388096495862
-44,-26,100,0.8600105652403592
-43,-26,100,0.8675823208311323
-42,-26,100,0.8748019017432647
-41,-26,100,0.8818453953160768
-40,-26,100,0.8887128015495686
-39,-26,100,0.8952280331044198
-38,-26,100,0.901743264659271
-37,-26,100,0.9079063215354816
-36,-26,100,0.9140693784116922
-35,-26,100,0.9198802606092622
-34,-26,100,0.9255150554675119
-33,-26,100,0.930797675647121
-32,-26,100,0.93608029582673
-31,-26,100,0.9410107413276986
-30,-26,100,0.945941186828667
-29,-26,100,0.9505194576509949
-28,-26,100,0.9549216411340025
-27,-26,100,0.9589716499383695
-26,-26,100,0.9630216587427364
-25,-26,100,0.9668955802077831
-24,-26,100,0.9704173269941891
-23,-26,100,0.9737629864412749
-22,-26,100,0.9769325585490404
-21,-26,100,0.9799260433174855
-20,-26,100,0.9827434407466104
-19,-26,100,0.9852086634970946
-18,-26,100,0.9874977989082585
-17,-26,100,0.9897869343194224
-16,-26,100,0.9917238950519458
-15,-26,100,0.9934847684451488
-14,-26,100,0.9948934671597112
-13,-26,100,0.9963021658742737
-12,-26,100,0.9973586899101955
-11,-26,100,0.9984152139461173
-10,-26,100,0.9991195633033985
-9,-26,100,0.9996478253213594
-8,-26,100,0.9998239126606797
-7,-26,100,1.0
-6,-26,100,0.9998239126606797
-5,-26,100,0.9996478253213594
-4,-26,100,0.9991195633033985
-3,-26,100,0.9984152139461173
-2,-26,100,0.9975347772495158
-1,-26,100,0.9963021658742737
0,-26,100,0.9950695544990316
1,-26,100,0.9934847684451488
2,-26,100,0.9917238950519458
3,-26,100,0.9897869343194224
4,-26,100,0.9876738862475788
5,-26,100,0.9853847508364149
6,-26,100,0.9827434407466104
7,-26,100,0.9801021306568057
8,-26,100,0.9771086458883607
9,-26,100,0.9739390737805952
10,-26,100,0.9705934143335094
11,-26,100,0.9670716675471034
12,-26,100,0.9631977460820567
13,-26,100,0.95932382461701
14,-26,100,0.9550977284733227
15,-26,100,0.9506955449903152
16,-26,100,0.9461172741679873
17,-26,100,0.9413629160063391
18,-26,100,0.9362563831660503
19,-26,100,0.9311498503257616
20,-26,100,0.9256911428068322
21,-26,100,0.9200563479485825
22,-26,100,0.9142454657510125
23,-26,100,0.9082584962141222
24,-26,100,0.9020954393379116
25,-26,100,0.8955802077830604
26,-26,100,0.8890649762282092
27,-26,100,0.8821975699947174
28,-26,100,0.8751540764219052
29,-26,100,0.8679344955097729
30,-26,100,0.8603627399189998
31,-26,100,0.8527909843282268
32,-26,100,0.8448670540588131
33,-26,100,0.8369431237893995
34,-26,100,0.8286670188413453
35,-26,100,0.8202148265539708
36,-26,100,0.8114104595879557
37,-26,100,0.8026060926219405
38,-26,100,0.7934495509772848
39,-26,100,0.784293009332629
40,-26,100,0.7747842930093326
41,-26,100,0.765099489346716
42,-26,100,0.7550625110054587
43,-26,100,0.7450255326642015
44,-26,100,0.7348124669836239
45,-26,100,0.7242472266244057
46,-26,100,0.7135058989258672
47,-26,100,0.7025884838880084
48,-26,100,0.6914949815108293
49,-26,100,0.68022539179433
50,-26,100,0.66860362739919
51,-26,100,0.6568057756647298
52,-26,100,0.6450079239302694
53,-26,100,0.6328578975171685
54,-26,100,0.6205317837647473
55,-26,100,0.6078534953336855
56,-26,100,0.5951752069026237
57,-26,100,0.5821447437929212
58,-26,100,0.5691142806832189
59,-26,100,0.5557316428948759
60,-26,100,0.5421729177672125
61,-26,100,0.5282620179609087
62,-26,100,0.5143511181546047
63,-26,100,0.5000880436696602
64,-26,100,0.4858249691847156
-65,-25,100,0.6564536009860891
-64,-25,100,0.6682514527205494
-63,-25,100,0.6796971297763691
-62,-25,100,0.6911428068321888
-61,-25,100,0.7022363092093679
-60,-25,100,0.7131537242472267
-59,-25,100,0.7238950519457651
-58,-25,100,0.7342842049656629
-57,-25,100,0.7446733579855609
-56,-25,100,0.754710336326818
-55,-25,100,0.7647473146680753
-54,-25,100,0.774432118330692
-53,-25,100,0.7839408346539883
-52,-25,100,0.7930973762986441
-51,-25,100,0.8022539179432999
-50,-25,100,0.811058284909315
-49,-25,100,0.8198626518753301
-48,-25,100,0.8283148441627047
-47,-25,100,0.8365909491107589
-46,-25,100,0.8446909667194928
-45,-25,100,0.8524388096495862
-44,-25,100,0.8601866525796795
-43,-25,100,0.8675823208311323
-42,-25,100,0.8748019017432647
-41,-25,100,0.8818453953160768
-40,-25,100,0.8887128015495686
-39,-25,100,0.8954041204437401
-38,-25,100,0.901743264659271
-37,-25,100,0.9080824088748018
-36,-25,100,0.9140693784116922
-35,-25,100,0.9198802606092622
-34,-25,100,0.9255150554675119
-33,-25,100,0.9309737629864413
-32,-25,100,0.93608029582673
-31,-25,100,0.9411868286670189
-30,-25,100,0.945941186828667
-29,-25,100,0.9505194576509949
-28,-25,100,0.9549216411340025
-27,-25,100,0.9591477372776898
-26,-25,100,0.9630216587427364
-25,-25,100,0.9668955802077831
-24,-25,100,0.9704173269941891
-23,-25,100,0.9737629864412749
-22,-25,100,0.9769325585490404
-21,-25,100,0.9799260433174855
-20,-25,100,0.9827434407466104
-19,-25,100,0.9852086634970946
-18,-25,100,0.9874977989082585
-17,-25,100,0.9897869343194224
-16,-25,100,0.9917238950519458
-15,-25,100,0.9934847684451488
-14,-25,100,0.9948934671597112
-13,-25,100,0.9963021658742737
-12,-25,100,0.9973586899101955
-11,-25,100,0.9982391266067969
-10,-25,100,0.9989434759640782
-9,-25,100,0.9994717379820391
-8,-25,100,0.9998239126606797
-7,-25,100,1.0
-6,-25,100,1.0
-5,-25,100,0.9996477632969355
-4,-25,100,0.9991194082423388
-3,-25,100,0.9984149348362099
-2,-25,100,0.9975343430785488
-1,-25,100,0.9964776329693554
0,-25,100,0.9950686861570975
1,-25,100,0.9936597393448398
2,-25,100,0.9918985558295175
3,-25,100,0.9899612539626629
4,-25,100,0.9878478337442762
5,-25,100,0.9853821768228249
6,-25,100,0.9829165199013737
7,-25,100,0.9800986262768581
8,-25,100,0.9771046143008102
9,-25,100,0.97393448397323
10,-25,100,0.9705882352941176
11,-25,100,0.9670658682634731
12,-25,100,0.9633673828812962
13,-25,100,0.9593166607960549
14,-25,100,0.9550898203592815
15,-25,100,0.9506868615709757
16,-25,100,0.9461077844311377
17,-25,100,0.9413525889397675
18,-25,100,0.9364212750968651
19,-25,100,0.9311377245508982
20,-25,100,0.9256780556533991
21,-25,100,0.9200422684043678
22,-25,100,0.9142303628038042
23,-25,100,0.9082423388517084
24,-25,100,0.9020781965480803
25,-25,100,0.8955618175413879
26,-25,100,0.8890454385346953
27,-25,100,0.8821768228249384
28,-25,100,0.8751320887636491
29,-25,100,0.8679112363508278
30,-25,100,0.8603381472349418
31,-25,100,0.852765058119056
32,-25,100,0.8448397323001057
