Roll,Pitch,Z,Area
44,26,300,0.8614780435558729
46,26,300,0.8457693680828275
48,26,300,0.829346661906462
50,26,300,0.8120314173509461
52,26,300,0.79400214209211
54,26,300,0.7749018207782935
56,26,300,0.7552659764369868
58,26,300,0.7345590860406997
60,26,300,0.7131381649410925
62,26,300,0.6908247054623349
64,26,300,0.667797215280257
-62,28,300,0.5048197072474117
-60,28,300,0.5330239200285612
-58,28,300,0.5603355944305605
-56,28,300,0.5869332381292396
-54,28,300,0.6126383434487683
-52,28,300,0.6376294180649767
-50,28,300,0.661727954302035
-48,28,300,0.6849339521599429
-46,28,300,0.7074259193145305
-44,28,300,0.7290253480899679
-42,28,300,0.7497322384862549
-40,28,300,0.7697250981792217
-38,28,300,0.7888254194930382
-36,28,300,0.8070332024277044
-34,28,300,0.8245269546590503
-32,28,300,0.8411281685112459
-30,28,300,0.8570153516601214
-28,28,300,0.8720099964298464
-26,28,300,0.8861121028204213
-24,28,300,0.8995001785076758
-22,28,300,0.9119957158157801
-20,28,300,0.923598714744734
-18,28,300,0.9344876829703678
-16,28,300,0.9444841128168511
-14,28,300,0.9535880042841842
-12,28,300,0.961977865048197
-10,28,300,0.9694751874330596
-8,28,300,0.976258479114602
-6,28,300,0.9819707247411639
-4,28,300,0.9871474473402356
-2,28,300,0.9912531238843271
0,28,300,0.9946447697250982
2,28,300,0.9973223848625491
4,28,300,0.9989289539450197
6,28,300,0.99982149232417
8,28,300,1.0
10,28,300,1.0
12,28,300,0.9996422822393132
14,28,300,0.9971382579145055
16,28,300,0.9939187980683241
18,28,300,0.9898050438204257
20,28,300,0.9849758540511536
22,28,300,0.9792523698801645
24,28,300,0.9726345913074584
26,28,300,0.9653013772133786
28,28,300,0.9570738687175818
30,28,300,0.947952065820068
32,28,300,0.9381148274011805
34,28,300,0.9273832945805759
36,28,300,0.9159363262385978
38,28,300,0.9034162046145591
40,28,300,0.8903595063494902
42,28,300,0.8762296548023609
44,28,300,0.861384367733858
46,28,300,0.845644786263638
48,28,300,0.8291897692720444
50,28,300,0.8118404578787337
52,28,300,0.793596852083706
54,28,300,0.7746378107673046
56,28,300,0.7547844750491862
58,28,300,0.7342157038096941
60,28,300,0.7127526381684851
62,28,300,0.6903952781255589
-60,30,300,0.5326417456626722
-58,30,300,0.5600071543552138
-56,30,300,0.5866571275263817
-54,30,300,0.6124128062958326
-52,30,300,0.6374530495439098
-50,30,300,0.66159899839027
-48,30,300,0.6848506528349132
-46,30,300,0.7072080128778394
-44,30,300,0.7288499373993919
