Roll,Pitch,Z,Area
0,0,200,1.0
1,0,200,1.0
2,0,200,1.0
3,0,200,0.9995749202975558
4,0,200,0.9987247608926674
5,0,200,0.9976620616365569
6,0,200,0.9963868225292243
7,0,200,0.9946865037194474
8,0,200,0.9929861849096706
9,0,200,0.9908607863974496
10,0,200,0.9885228480340064
11,0,200,0.9859723698193411
12,0,200,0.9832093517534538
13,0,200,0.9800212539851222
14,0,200,0.9768331562167907
15,0,200,0.9732199787460148
16,0,200,0.969394261424017
17,0,200,0.965356004250797
18,0,200,0.961105207226355
19,0,200,0.9566418703506907
20,0,200,0.9517534537725824
21,0,200,0.946865037194474
22,0,200,0.9415515409139213
23,0,200,0.9360255047821466
24,0,200,0.9302869287991499
25,0,200,0.924335812964931
26,0,200,0.9179596174282678
27,0,200,0.9115834218916047
28,0,200,0.9047821466524973
29,0,200,0.897768331562168
30,0,200,0.8905419766206164
31,0,200,0.8831030818278427
32,0,200,0.8752391073326249
33,0,200,0.867375132837407
34,0,200,0.859086078639745
35,0,200,0.8505844845908608
36,0,200,0.8418703506907546
37,0,200,0.8329436769394262
38,0,200,0.8238044633368756
39,0,200,0.814240170031881
40,0,200,0.8046758767268863
41,0,200,0.7946865037194474
42,0,200,0.7844845908607864
43,0,200,0.7740701381509033
44,0,200,0.7632306057385759
45,0,200,0.7523910733262487
46,0,200,0.7411264612114772
47,0,200,0.7296493092454835
48,0,200,0.7181721572794899
49,0,200,0.70605738575983
50,0,200,0.69394261424017
51,0,200,0.681615302869288
52,0,200,0.6688629117959617
53,0,200,0.6558979808714134
54,0,200,0.6429330499468651
55,0,200,0.6295430393198724
56,0,200,0.6157279489904357
57,0,200,0.601912858660999
58,0,200,0.5876726886291179
59,0,200,0.573432518597237
60,0,200,0.5587672688629118
61,0,200,0.5438894792773645
62,0,200,0.5287991498405951
63,0,200,0.5132837407013815
64,0,200,0.49776833156216793
65,0,200,0.4818278427205101
66,0,200,0.46567481402763017
67,0,200,0.4493092454835282
68,0,200,0.43273113708820404
69,0,200,0.4159404888416578
70,0,200,0.3989373007438895
71,0,200,0.38150903294367694
72,0,200,0.3638682252922423
73,0,200,0.34601487778958556
74,0,200,0.3279489904357067
75,0,200,0.3096705632306057
76,0,200,0.2911795961742827
77,0,200,0.2722635494155154
78,0,200,0.25313496280552605
79,0,200,0.23379383634431455
80,0,200,0.21424017003188098
81,0,200,0.1944739638682253
82,0,200,0.1744952178533475
83,0,200,0.15409139213602552
84,0,200,0.1336875664187035
85,0,200,0.11285866099893731
86,0,200,0.09181721572794899
87,0,200,0.07056323060573857
88,0,200,0.048884165781083955
89,0,200,0.02720510095642933
90,0,200,0.005100956429330499
-89,1,200,0.021891604675876728
-88,1,200,0.043783209351753456
-87,1,200,0.06524973432518598
-86,1,200,0.0867162592986185
-85,1,200,0.1077577045696068
-84,1,200,0.12858660998937302
-83,1,200,0.14920297555791712
-82,1,200,0.1696068012752391
-81,1,200,0.1895855472901169
-80,1,200,0.20956429330499468
-79,1,200,0.22911795961742826
-78,1,200,0.24845908607863976
-77,1,200,0.2675876726886291
-76,1,200,0.2865037194473964
-75,1,200,0.3052072263549416
-74,1,200,0.3234856535600425
-73,1,200,0.3417640807651435
-72,1,200,0.3596174282678002
-71,1,200,0.37725823591923485
-70,1,200,0.3946865037194474
-69,1,200,0.4116896918172157
-68,1,200,0.42869287991498406
-67,1,200,0.4452709883103082
-66,1,200,0.4616365568544102
-65,1,200,0.4780021253985122
-64,1,200,0.49373007438894795
-63,1,200,0.5094580233793836
-62,1,200,0.5249734325185972
-61,1,200,0.5400637619553667
-60,1,200,0.554941551540914
-59,1,200,0.5698193411264613
-58,1,200,0.5842720510095643
-57,1,200,0.5982996811902231
-56,1,200,0.612327311370882
