# Fri Mar 22 16:25:06 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
168,0.00,0.13,0.01,0.63,0.05,0.02,0.01,0.01,0.87
169,0.00,0.10,0.01,0.60,0.04,0.01,0.01,0.01,0.79
170,0.00,0.11,0.01,0.01,0.02,0.01,0.01,0.00,0.17
171,0.00,0.17,0.02,0.54,0.03,0.01,0.01,0.01,0.78
172,0.00,0.11,0.01,0.01,0.01,0.01,0.01,0.00,0.17
173,0.00,0.09,0.01,0.45,0.03,0.01,0.01,0.00,0.60
174,0.00,0.10,0.01,0.49,0.09,0.02,0.01,0.00,0.72
175,0.00,0.09,0.01,0.49,0.03,0.01,0.01,0.00,0.63
176,0.00,0.07,0.01,0.39,0.02,0.01,0.01,0.00,0.51
177,0.00,0.09,0.01,0.51,0.03,0.02,0.01,0.01,0.67
178,0.00,0.23,0.02,1.21,0.10,0.03,0.01,0.01,1.61
179,0.00,0.09,0.01,0.47,0.04,0.01,0.01,0.00,0.63
180,0.00,0.08,0.01,0.27,0.03,0.01,0.01,0.00,0.41
181,0.00,0.08,0.01,0.40,0.02,0.01,0.01,0.00,0.53
182,0.00,0.09,0.01,0.86,0.10,0.03,0.01,0.01,1.10
183,0.00,0.18,0.02,0.96,0.10,0.02,0.01,0.01,1.31
184,0.00,0.10,0.02,0.78,0.07,0.02,0.01,0.01,1.00
185,0.00,4.50,0.02,0.70,0.04,0.01,0.01,0.01,5.28
186,0.00,0.10,0.01,0.50,0.04,0.01,0.01,0.00,0.67
187,0.00,0.17,0.01,0.01,0.02,0.01,0.01,0.00,0.23
188,0.00,0.11,0.01,0.42,0.02,0.01,0.01,0.00,0.58
189,0.00,0.19,0.02,4.95,0.10,0.02,0.01,0.01,5.31
190,0.00,0.09,0.01,0.54,0.01,0.01,0.03,0.01,0.69
191,0.00,0.19,0.02,0.68,0.03,0.03,0.12,0.02,1.08
192,0.00,0.09,0.01,0.45,0.01,0.01,0.02,0.00,0.59
193,0.00,0.08,0.01,0.42,0.02,0.01,0.05,0.01,0.60
194,0.00,0.15,0.01,0.39,0.01,0.01,0.03,0.01,0.61
