# Thu Mar 21 03:03:05 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
0,0.00,1454.88,0.04,500.09,0.03,0.06,1.27,0.11,1956.47
1,0.00,0.68,0.02,0.70,0.04,0.03,0.09,0.01,1.57
2,0.00,0.09,0.01,0.85,0.03,0.01,0.06,0.01,1.06
3,0.00,0.19,0.01,1.75,0.01,0.01,0.06,0.00,2.03
4,0.00,0.15,0.01,2.00,0.04,0.02,0.07,0.01,2.30
5,0.00,0.29,0.05,2.96,0.02,0.01,0.04,0.00,3.37
6,0.00,0.16,0.02,1.90,0.05,0.02,0.06,0.01,2.22
7,0.00,0.08,0.01,0.64,0.01,0.01,0.02,0.00,0.77
8,0.00,0.09,0.01,0.40,0.01,0.01,0.02,0.00,0.55
9,0.00,0.69,0.02,0.42,0.01,0.01,0.05,0.01,1.21
10,0.00,0.14,0.01,0.75,0.02,0.01,0.04,0.01,0.98
11,0.00,0.13,0.01,1.27,0.03,0.01,0.05,0.01,1.50
12,0.00,0.08,0.01,0.38,0.00,0.01,0.01,0.00,0.50
13,0.00,0.19,0.03,0.74,0.02,0.01,0.04,0.00,1.04
14,0.00,0.37,0.01,0.47,0.01,0.01,0.03,0.00,0.90
15,0.00,0.33,0.01,0.61,0.02,0.01,0.03,0.00,1.02
16,0.00,0.14,0.01,1.17,0.03,0.01,0.04,0.01,1.41
17,0.00,0.14,0.01,0.43,0.01,0.01,0.03,0.01,0.65
18,0.00,0.14,0.02,1.02,0.44,0.01,0.02,0.00,1.67
19,0.00,0.16,0.02,0.34,0.01,0.01,0.02,0.00,0.55
20,0.00,0.08,0.01,0.44,0.01,0.01,0.02,0.00,0.57
21,0.00,0.16,0.02,0.98,0.03,0.01,0.06,0.00,1.26
22,0.00,0.14,0.02,0.60,0.02,0.02,0.05,0.00,0.85
23,0.00,0.12,0.01,0.51,0.01,0.01,0.02,0.01,0.68
24,0.00,0.11,0.01,0.57,0.02,0.01,0.04,0.00,0.77
25,0.00,0.17,0.01,0.99,0.03,0.02,0.05,0.01,1.28
26,0.00,0.72,0.02,0.64,0.01,0.02,0.04,0.01,1.45
27,0.00,0.16,0.02,0.48,0.01,0.01,0.04,0.01,0.74
28,0.00,0.38,0.01,0.43,0.01,0.01,0.02,0.00,0.85
29,0.00,0.14,0.01,0.60,0.01,0.01,0.03,0.00,0.79
30,0.00,0.08,0.01,0.34,0.00,0.01,0.01,0.00,0.45
31,0.00,0.08,0.01,0.37,0.00,0.01,0.01,0.00,0.49
32,0.00,0.83,0.03,0.97,0.02,0.02,0.05,0.01,1.93
33,0.00,0.33,0.03,1.52,0.02,0.01,0.05,0.01,1.96
34,0.00,0.22,0.03,2.21,0.04,0.03,0.07,0.01,2.59
35,0.00,0.90,0.02,0.64,0.01,0.01,0.03,0.00,1.61
36,0.00,0.28,0.02,0.81,0.08,0.01,0.02,0.00,1.23
37,0.00,2.99,0.03,0.70,0.07,0.02,0.02,0.01,3.83
38,0.00,0.12,0.01,0.46,0.02,0.01,0.01,0.00,0.63
39,0.00,0.08,0.01,0.41,0.02,0.01,0.01,0.00,0.55
40,0.00,0.23,0.01,0.43,0.03,0.01,0.01,0.01,0.74
41,0.00,0.08,0.01,0.25,0.02,0.28,0.02,0.00,0.67
42,0.00,0.09,0.01,0.42,0.03,0.01,0.01,0.00,0.57
43,0.00,0.09,0.01,1.29,0.11,0.02,0.01,0.01,1.55
44,0.00,0.07,0.01,0.31,0.02,0.01,0.01,0.00,0.43
45,0.00,0.88,0.05,0.99,0.06,0.01,0.01,0.01,2.00
46,0.00,0.07,0.01,1.35,0.06,0.02,0.01,0.01,1.53
47,0.00,0.09,0.01,0.52,0.03,0.01,0.01,0.00,0.67
48,0.00,0.10,0.01,0.01,0.02,0.01,0.01,0.00,0.16
49,0.00,0.14,0.02,1.98,0.05,0.01,0.01,0.01,2.22
50,0.00,1.76,0.02,0.85,0.05,0.01,0.01,0.00,2.70
51,0.00,0.09,0.01,0.46,0.04,0.01,0.01,0.00,0.62
52,0.00,0.15,0.02,0.84,0.08,0.02,0.01,0.01,1.13
53,0.00,0.12,0.01,0.44,1.07,0.06,0.02,0.01,1.72
54,0.00,0.13,0.01,0.55,0.04,0.01,0.01,0.00,0.76
55,0.00,0.06,0.01,0.00,0.01,0.00,0.01,0.00,0.10
56,0.00,0.13,0.01,2.40,0.04,0.01,0.01,0.00,2.61
57,0.00,0.09,0.01,3.75,0.05,0.01,0.01,0.00,3.92
58,0.00,0.11,0.01,0.41,0.03,0.01,0.01,0.00,0.58
59,0.00,0.09,0.01,13.30,0.08,0.01,0.01,0.01,13.51
60,0.00,0.18,0.02,0.29,0.03,0.01,0.01,0.00,0.55
61,0.00,0.09,0.01,0.39,0.04,0.01,0.01,0.00,0.55
62,0.00,0.14,0.02,0.41,0.05,0.01,0.01,0.01,0.64
63,0.00,0.16,0.02,4.50,0.06,0.01,0.01,0.00,4.76
64,0.00,0.14,0.06,0.59,0.09,0.01,0.01,0.00,0.90
65,0.00,0.24,0.03,0.48,0.04,0.01,0.01,0.00,0.81
66,0.00,0.15,0.02,0.35,0.05,0.02,0.01,0.01,0.61
67,0.00,0.17,0.02,0.01,0.02,0.02,0.01,0.01,0.26
68,0.00,0.12,0.01,0.38,0.04,0.01,0.01,0.00,0.58
69,0.00,0.17,0.01,0.29,0.02,0.01,0.01,0.00,0.52
70,0.00,0.15,0.01,0.29,0.04,0.01,0.01,0.01,0.53
71,0.00,0.09,0.01,0.66,0.07,0.01,0.01,0.01,0.85
72,0.00,0.27,0.03,0.88,0.14,0.02,0.01,0.01,1.37
73,0.00,0.14,0.01,0.88,0.08,0.01,0.01,0.01,1.14
74,0.00,0.12,0.01,0.01,0.02,0.01,0.01,0.00,0.17
75,0.00,0.13,0.01,0.31,0.06,0.01,0.01,0.00,0.54
76,0.00,0.24,0.03,0.80,0.08,0.02,0.02,0.01,1.19
