Roll,Pitch,Area
-1,9,10421.0
-1,11,9290.0
-2,10,8845.0
-14,12,7728.5
-17,14,7880.0
-14,10,5508.0
-7,13,5446.0
8,14,5470.0
10,14,5553.0
13,15,5501.0
17,15,5488.0
16,16,5407.0
22,13,5168.0
26,15,5020.666666666667
44,16,4979.0
47,17,4257.0
-73,-16,2244.0
-59,-12,2148.0
-64,-23,3160.0
-66,-23,3061.0
-36,-12,3286.0
-23,-10,3737.0
-25,-8,3933.0
60,4,3176.0
32,34,2639.0
-33,56,2923.0
-70,18,2388.0
-75,15,2329.0
-75,14,2250.0
-78,11,2218.0
-83,7,2207.0
-86,4,2229.0
-88,2,2215.0
-88,1,2234.0
-85,-3,2260.0
-35,35,3850.0
-10,6,3944.0
-17,6,3662.0
-14,14,7419.0
43,16,4962.0
48,15,4908.0
-16,-4,4102.0
-7,-4,4229.0
-6,-3,4253.0
48,4,4084.0
56,3,3581.0
57,5,3322.0
22,38,2760.0
20,43,2922.0
14,45,3116.0
-9,53,3805.0
-10,58,3776.0
-16,56,3717.0
-15,58,3698.0
-18,56,3713.0
-20,55,3591.0
-19,59,3564.0
-36,52,3084.0
-35,35,4116.3
-14,8,4182.0
-17,6,3876.0
-14,9,6297.5
-15,10,5660.0
-14,10,5623.0
-16,11,5695.0
-17,11,5602.0
-15,11,5511.0
51,14,3715.0
50,13,3627.0
-22,8,4227.0
-31,3,4364.0
-34,1,4355.0
-44,-2,4271.0
-51,-5,4291.0
-56,-8,4255.0
-60,-9,4139.0
-64,-11,3992.0
-67,-13,3877.0
-70,-13,3684.0
-71,-15,3522.0
-73,-15,3262.0
-74,-16,3046.0
-72,-17,2820.0
-71,-18,2677.0
-69,-19,2425.0
-69,-16,2465.0
-66,-20,2379.0
-66,-19,2292.0
-65,-18,2280.0
-68,-14,2190.0
-46,-8,2185.0
-36,-4,2346.0
-41,-23,3560.5
-43,-24,3531.0
-45,-24,3510.0
-50,-25,3513.0
-51,-25,3510.0
-55,-25,3507.0
-60,-24,3438.0
-63,-23,3327.0
-67,-23,2816.0
-68,-22,2533.3333333333335
-67,-22,2338.0
-68,-20,2232.5
-64,-16,2250.0
-55,-16,2232.0
-49,-17,2290.0
-48,-13,2314.0
-43,-10,2548.0
-41,-9,2926.0
-32,-12,3453.0
-26,-11,3543.0
61,4,2918.0
64,7,2804.0
68,10,2613.0
62,13,2527.0
52,18,2450.0
49,23,2348.0
42,22,2254.0
32,35,2282.0
-36,52,2843.0
-39,50,2818.0
-46,44,2796.0
-49,41,2777.0
-52,38,2761.0
-57,33,2706.0
-58,32,2661.0
-63,27,2635.0
-64,26,2564.0
-67,23,2560.0
-68,21,2505.0
-80,-5,2293.0
-76,-7,2294.0
-73,-8,2320.0
-69,-10,2329.0
-35,35,3813.9
-14,10,5983.0
54,15,3555.0
54,14,3405.0
55,14,3139.0
-26,5,4283.5
-39,1,4334.0
-27,-2,2582.0
-21,-2,2954.0
-16,1,3369.0
-14,1,3703.0
-8,3,3914.0
-9,1,4000.0
-5,4,3981.0
-3,3,3964.0
-1,6,3978.0
3,9,3916.0
32,3,3855.0
-21,-23,3741.0
-25,-23,3807.0
-29,-24,3852.0
-36,-24,3841.0
-38,-24,3812.0
-40,-24,3818.0
-42,-22,3746.0
-38,-23,3653.0
-40,-23,3560.6666666666665
-40,-22,3526.5
-39,50,2800.0
-41,49,2785.0
-42,47,2782.0
-11,9,3744.0
-17,5,3539.0
-15,10,5767.0
57,14,3020.0
56,14,2948.0
23,14,2364.0
17,13,2889.0
8,13,3149.0
-10,10,3852.0
-17,8,3992.0
10,8,3966.0
13,7,3930.0
17,4,3941.0
23,3,3945.0
27,3,3872.0
38,5,3828.0
45,5,3774.0
47,6,3746.0
49,4,3551.0
50,5,3364.0
51,2,3261.0
56,5,3195.0
54,3,3122.0
59,1,3011.0
55,-3,2820.0
54,-5,2727.0
34,-10,2639.0
37,-8,2763.0
22,-13,2987.0
21,-13,3085.0
19,-16,3119.0
13,-19,3275.0
3,-23,3573.0
1,-23,3694.0
-10,-23,3741.0
-14,-23,3755.0
-17,-23,3717.0
59,14,2795.0
61,12,2656.0
62,12,2623.0
-4,12,3671.0
49,-4,2666.0
45,-7,2596.0
41,-8,2608.0
5,-21,3390.0
-15,6,3318.0
62,11,2538.0
60,13,2452.0
65,10,2308.0
65,11,2264.0
3,12,3391.0
-15,5,3162.0
67,12,2202.0
-10,8,3127.0
-5,11,3086.0
-7,12,3125.0
-4,11,3127.0
66,14,2151.0
65,12,2170.0
55,12,2065.0
53,14,2050.0
44,14,1988.0
38,15,2053.0
29,16,2107.0
-11,9,3084.25
-11,7,3086.5
-10,8,3092.5
-4,11,3001.0
-15,5,2953.0
-2,1,4524.0
7,1,4585.0
12,1,4471.0
27,1,4478.0
28,1,4526.0
38,1,4330.0
46,4,4097.0
50,2,3880.0
5,47,3484.0
7,49,3648.0
-1,52,3789.0
-7,46,3938.0
-5,53,3951.0
-7,56,3888.0
-20,59,3604.0
-22,59,3571.0
-25,57,3586.0
-26,57,3531.0
-27,57,3534.0
-26,60,3477.0
-33,56,3219.0
-35,35,4273.05
-18,11,4297.0
-15,6,4024.0
16,1,4506.0
22,2,4567.0
-27,59,3493.0
-30,57,3427.6666666666665
-31,55,3408.5
-31,56,3435.0
-30,56,3349.0
-34,53,3547.0
-37,52,3513.0
-40,48,3423.0
-38,50,3412.0
-34,54,3372.0
-33,55,3354.0
-33,56,3325.0
-35,35,4425.3
-24,10,4458.0
-25,11,4491.0
-18,11,4460.0
-17,7,4241.0
-16,7,4265.5
-16,-1,4302.0
-16,-5,4268.0
-14,-7,4222.0
-13,-10,4200.0
-9,-12,4250.0
-13,-18,4243.0
-9,-21,4167.0
-7,-25,4157.0
-8,-29,4151.0
-5,-32,4187.0
-1,-38,3907.0
-1,-41,4135.0
1,-46,4069.0
4,-47,3932.0
4,-49,3821.0
6,-51,3682.0
8,-50,3632.0
8,-51,3506.0
12,-51,3412.5
13,-50,3316.0
13,-51,3212.0
16,-51,3268.0
16,-52,3267.0
17,-52,3177.0
19,-51,3144.0
18,-53,3107.0
19,-54,3078.0
18,-54,3084.3333333333335
17,-54,3117.6666666666665
17,-55,3106.0
18,-55,3136.0
17,-53,3103.0
16,-54,3117.0
14,-52,3099.0
11,-50,3180.0
10,-48,3168.0
7,-46,3295.0
-1,-39,3724.0
-3,-34,3840.0
-5,-34,3963.0
-6,-30,4046.0
-13,-20,4120.0
-21,-11,4167.0
-21,-6,4201.0
-23,-6,4265.0
-24,3,4235.0
-26,2,4170.5
-26,4,4239.0
-27,5,4225.0
-29,58,3547.0
-31,56,3598.0
-33,55,3551.0
-35,35,4576.0
-24,11,4593.0
-22,11,4525.0
-21,11,4509.0
-15,7,4298.0
-15,8,4312.0
-20,6,4368.0
-14,8,4374.0
-18,7,4466.0
-18,18,4259.0
-19,13,4313.0
-18,9,4312.0
-19,5,4324.0
-18,5,4284.0
-23,-3,4268.0
-22,1,4271.0
-25,3,4205.0
-26,5,4274.0
-27,4,4260.666666666667
-25,4,4230.0
-27,5,4306.0
-28,5,4313.0
-27,3,4297.0
-35,35,4771.877777777778
-17,8,4545.0
-16,8,4633.0
-65,-12,2583.0
-61,-9,2635.0
-53,-6,2718.0
-46,-2,3057.0
-19,24,4327.0
-35,35,4905.5
-17,8,4764.0
-68,-20,2780.3333333333335
-68,-21,2735.0
-69,-20,2695.0
-69,-21,2689.0
-69,-19,2640.0
-69,-15,2629.0
-40,1,3419.0
-35,2,3723.0
-28,4,4077.0
-24,7,4470.0
-22,8,4610.0
-17,9,4681.0
-13,10,4800.0
-10,11,4780.0
-9,11,4798.0
-5,12,4796.0
-3,12,4822.0
-2,12,4856.0
-19,24,4173.0
-11,9,2968.0
-22,-13,2557.0
-21,-11,2701.0
-23,-8,2745.0
-25,-6,2769.0
-23,-4,2718.0
-11,11,2741.0
-19,55,2182.5
-20,59,2294.0
-17,63,2253.0
-19,62,2213.0
-16,68,2071.5
-16,69,2094.0
-14,68,2068.0
-14,72,2001.0
-15,70,2057.0
-15,69,2040.0
-19,61,2042.0
-18,52,2008.0
-19,45,2018.0
