Roll,Pitch,Area
-13,7,3882.0
-14,8,3852.0
-16,6,3861.0
-14,6,3861.0
-15,6,3850.0
-13,6,3842.0
-16,5,3804.0
-10,8,3816.0
-3,9,3843.0
16,16,3769.0
18,18,3685.0
30,12,3313.0
55,1,2680.5
54,1,2584.5
53,1,2611.0
56,1,2596.5
57,1,2610.5
58,1,2688.6666666666665
59,2,2768.0
59,1,2629.0
58,2,2563.0
58,3,2561.0
56,3,2585.0
56,2,2532.0
55,2,2595.0
53,2,2589.0
53,4,2580.0
51,2,2608.0
39,1,3046.0
38,1,3192.0
32,2,3282.0
31,1,3244.0
15,-2,3494.0
14,1,3512.0
12,-1,3544.0
11,1,3568.0
10,1,3583.0
9,1,3600.0
3,1,3639.0
-1,1,3615.8
50,-11,2869.0
17,-7,2992.0
15,-5,3128.0
-16,43,3006.0
-14,45,2982.0
-15,64,2262.0
-15,34,2512.0
-12,-11,3263.0
-18,15,3238.0
-15,50,2767.0
-15,55,2668.0
-16,63,2319.0
-15,65,2209.75
-14,65,2277.0
-16,65,2222.0
-16,66,2248.0
-14,66,2210.0
-13,68,2143.0
-11,67,2111.0
-10,69,2064.0
-7,68,2019.0
-5,68,2023.0
-4,68,2020.0
-3,66,2016.5
-1,66,2072.5
-2,66,2024.5
-2,68,2079.0
-4,66,2068.0
-3,65,2080.0
-3,64,2068.0
-4,60,2087.0
-3,60,2143.0
-13,-3,3136.0
-13,16,2797.0
-13,20,3171.0
-12,22,3198.0
-12,28,3192.0
-10,28,3127.0
-12,31,3113.0
-12,60,2388.5
-4,61,2315.0
-2,63,2314.0
-2,61,2258.0
-3,37,2779.0
-5,35,2801.3333333333335
-4,35,2790.0
-5,45,2788.0
-5,42,2788.0
-5,44,2784.0
-4,44,2792.0
21,-8,2961.0
22,-9,2964.0
22,-8,2916.0
23,-8,2960.0
20,-8,2924.0
20,-7,2921.0
18,-8,2947.0
15,-7,2924.0
14,-6,2961.0
13,-6,2940.0
11,-7,3019.0
10,-7,3025.0
-6,-11,2959.0
-6,-9,2992.0
-7,-7,3020.0
70,1,1835.0
65,-4,1800.0
66,-4,1883.0
-6,52,2267.0
-5,49,2279.0
-2,47,2346.0
-1,44,2344.0
11,14,2666.0
9,31,2707.0
-14,55,2346.5
-35,11,2347.0
6,1,2819.0
8,4,2867.0
5,6,2869.0
4,10,2833.0
-6,15,2825.0
-23,15,2849.0
-39,25,2798.0
-42,13,2345.0
-40,14,2414.0
-30,20,2427.0
6,-18,2854.0
-53,-34,2476.0
20,-28,2364.0
25,-25,2412.0
27,-23,2640.0
31,-21,2615.0
32,-18,2600.0
33,-16,2552.0
35,-14,2532.0
39,-13,2495.0
41,-11,2452.0
40,-11,2382.0
41,-8,2343.0
5,19,2649.0
3,11,3878.0
10,15,3894.0
11,15,3900.0
14,15,3833.0
33,10,3337.0
38,10,3401.0
57,1,2907.0
60,2,2808.0
57,7,2624.0
60,3,2658.0
59,2,2717.0
60,1,2718.0
