Roll,Pitch,Area
59,-2,3864.0
54,-3,4024.0
54,-2,4062.0
53,1,4155.0
52,-1,4188.0
46,-2,4310.0
48,-2,4373.0
47,-2,4441.0
61,-2,4743.0
64,-1,4874.0
69,-3,4620.0
25,7,5396.0
24,9,5523.0
24,8,5657.0
22,7,5612.0
22,8,5589.0
17,8,5809.0
15,7,5853.0
15,3,5927.0
16,3,6004.5
14,4,6116.0
12,4,6141.0
1,5,6546.0
1,6,6432.0
-1,6,6323.5
-8,5,6402.0
-9,5,6470.0
-9,6,6431.0
-10,5,6464.0
-12,5,6405.0
-13,21,6144.5
-13,20,6190.0
-16,22,6230.5
5,27,5368.0
7,27,5535.0
-83,-4,3923.0
-81,-5,3967.5
-85,-3,3924.0
-86,-4,3874.0
-83,-2,3911.0
-47,4,4888.0
-40,6,5112.0
-39,12,5413.0
-33,12,5588.0
-8,-1,6188.0
-10,-2,6242.0
-14,-2,6430.0
-15,-1,6478.0
-17,-3,6497.0
-63,-27,3944.0
-60,-30,3871.0
-58,-32,3952.0
-73,-17,4441.0
-73,-16,4116.0
-73,-15,4016.0
-72,-16,3855.0
-72,-15,3782.0
-20,28,6376.0
-19,32,6354.0
-19,33,6337.0
-19,35,6256.0
-21,37,6174.0
-21,39,6067.0
-18,52,5349.0
-15,55,5196.0
-16,57,5066.0
-15,61,4456.0
-12,64,4606.0
-18,57,4660.0
-12,60,4690.0
-13,59,4969.0
-14,54,5021.0
-15,50,5055.0
-14,1,6646.0
-14,-1,6627.0
-14,-6,6709.5
-14,-7,6708.0
-12,-9,6761.0
-12,-11,6857.0
-11,-12,6996.0
-10,-16,6991.0
-9,-19,7077.0
-7,-21,7136.0
-7,-25,7089.0
-5,-26,7090.0
-4,-29,7244.0
-2,-30,7223.0
-2,-32,7242.0
-1,-35,7236.0
-1,-36,7124.0
-1,-38,7067.0
3,-39,6965.0
3,-42,6885.0
4,-44,6812.0
4,-47,6724.0
5,-49,6744.0
6,-51,6676.0
7,-55,6807.0
8,-59,6784.0
9,-59,6774.0
9,-61,6713.0
13,-61,6660.0
13,-63,6570.0
14,-66,6581.0
15,-68,6556.0
