Roll,Pitch,Area
54,-6,4204.0
55,15,2505.0
-11,1,4630.0
-13,1,4697.0
-7,5,4744.0
-9,5,4683.0
-1,2,4745.0
2,3,4779.0
7,2,4800.0
11,3,4701.0
14,3,4611.0
16,5,4571.0
23,-6,3928.0
20,-6,4016.0
16,-8,4160.0
16,-7,4289.0
11,-8,4374.0
-2,1,4647.0
2,1,4684.0
7,-3,4643.0
12,-3,4661.0
14,-2,4619.0
20,-1,4603.0
25,-1,4552.0
28,1,4495.0
-25,-2,4606.25
-25,-3,4619.0
-26,-3,4628.0
-23,2,4670.5
-20,6,4668.0
-18,11,4691.0
-17,15,4571.0
-15,17,4609.0
-17,17,4525.0
-16,22,4521.0
-18,26,4438.0
-16,31,4345.0
-18,31,4285.0
-18,37,4105.0
-17,37,4039.0
-18,40,3861.0
-6,-4,4536.0
-4,-9,4619.0
-2,-12,4705.0
6,48,3844.0
7,52,3704.0
7,55,3634.0
8,54,3537.0
7,57,3449.0
10,60,3482.0
7,60,3443.0
8,62,3421.0
40,7,3789.0
37,13,3767.0
32,16,3724.0
26,21,3776.5
24,26,3757.0
13,33,3823.0
11,35,3866.0
-19,59,3436.0
-22,55,3405.0
-26,53,3419.0
-32,45,3384.0
-27,47,3411.0
-31,37,3391.0
-32,32,3731.0
-37,26,3821.0
-37,23,3924.0
-37,21,3943.0
-39,15,4036.0
-37,14,4130.0
-37,7,4130.0
-36,6,4176.0
-37,1,4347.0
-34,-4,4442.0
-34,-6,4428.0
-42,30,3788.0
-43,32,3819.0
-42,36,3707.0
-43,35,3610.0
-40,39,3476.0
-41,40,3356.0
-39,42,3343.0
-39,44,3363.0
-41,44,3319.0
-36,48,3339.0
-34,50,3251.0
-33,52,3176.0
-31,54,3085.0
-33,53,3141.0
-42,44,3121.0
-38,50,3137.0
-45,44,3093.0
-48,41,3065.0
-49,41,2898.0
-55,34,2654.0
-75,4,3024.0
-76,3,3084.0
-75,2,3046.0
52,-19,3610.0
52,-17,3353.0
47,15,2430.0
48,18,2448.0
51,1,3326.0
52,-1,3166.0
68,-3,2225.0
66,-4,2219.0
67,-4,2276.0
67,-3,2326.0
66,-3,2298.0
69,-3,2356.0
63,-3,2332.0
60,-2,2338.0
55,1,2297.0
48,-2,2315.0
45,-4,2483.0
54,1,3011.0
58,2,2914.0
58,1,2817.0
61,1,2781.0
62,1,2624.0
64,1,2480.0
67,2,2407.0
45,2,2386.0
40,1,2561.0
31,1,2774.0
27,-1,2931.0
54,-2,3085.0
58,-2,2922.0
61,-2,2933.0
66,-3,2231.0
67,-4,2243.5
69,-3,2236.0
65,1,2376.0
66,1,2275.6666666666665
67,2,2281.0
68,1,2180.0
64,1,2194.0
61,1,2189.0
51,1,2225.0
50,1,2266.0
62,-2,2788.0
64,-2,2525.0
68,-1,2553.0
65,-2,2485.0
68,-2,2327.0
67,-4,2293.0
67,-3,2279.0
69,-3,2279.0
67,-3,2216.0
66,1,2144.0
7,-7,4505.0
-2,-9,4571.0
-3,-9,4644.0
-5,-9,4794.0
-23,1,4616.0
-18,1,4629.0
-16,1,4588.0
-12,1,4638.0
-8,1,4742.0
-5,1,4753.0
-4,-19,4747.0
-2,-23,4813.0
-1,-25,4938.0
-1,-27,4912.0
5,47,4010.0
28,18,3710.0
25,17,3763.0
10,37,3849.0
6,40,3872.0
4,42,3815.0
2,45,3895.0
-18,60,3661.0
-15,66,3639.0
-17,63,3547.0
-14,65,3479.0
-31,40,3536.0
-33,35,3636.0
-35,33,3750.0
-44,20,4108.0
-46,24,4067.0
-43,30,4023.0
48,-15,3415.0
15,-14,4494.0
12,-17,4614.0
10,-23,4721.0
10,-29,4900.0
13,-32,4953.0
15,-32,5082.0
21,-31,5077.0
11,-34,5058.0
4,-35,4927.0
-1,-33,4844.0
-3,-33,4724.0
-7,-34,4764.0
-11,-34,4952.0
-13,-33,4995.0
-22,-33,5010.0
-28,-32,5136.0
-33,-31,5125.0
-40,-31,5140.0
-45,-28,5147.0
-50,-23,5130.0
-53,-18,5000.0
-55,-16,4878.0
-58,-15,4570.0
-4,-6,4835.0
5,-5,4827.0
10,-4,4849.0
17,-4,4871.0
22,-3,4962.0
27,-4,4842.0
31,-4,4821.0
39,-3,4658.0
45,-4,4554.0
41,18,2799.0
-10,-8,4808.0
-12,-7,4930.0
-17,-8,4978.0
-20,-8,5022.0
-23,-7,5099.0
-66,-4,2976.0
-59,-3,2951.0
-55,-3,3234.0
-50,-1,3526.0
-47,1,3878.0
-42,1,4108.0
-40,2,4216.0
-35,0,4256.0
-30,2,4421.0
-27,1,4497.0
3,-31,4970.0
2,-33,4954.0
1,-34,4969.0
5,-36,5007.0
4,-39,5020.0
4,-42,5043.0
7,-45,5062.0
8,-46,5052.0
9,-48,5008.0
11,-50,5046.0
10,-52,5008.0
11,-54,4973.0
13,-58,4889.0
11,-58,4884.0
12,-58,4891.0
10,-60,4815.0
13,-61,4785.5
13,-62,4701.75
15,-66,4565.0
13,-64,4551.0
15,-65,4607.0
13,-66,4547.0
14,-66,4604.0
15,-68,4581.0
14,-67,4571.0
14,-68,4419.6
17,-68,4511.0
15,-69,4493.0
15,-71,4549.0
16,-70,4424.0
17,-70,4318.4
16,-71,4296.2
18,-70,4315.666666666667
15,-73,4397.5
18,-69,4349.5
14,-72,4428.0
15,-70,4456.5
15,-72,4327.0
14,-70,4358.0
19,-69,4394.0
16,-72,4377.5
17,-71,4321.0
17,-72,4324.0
12,-65,4458.0
12,-63,4631.0
12,-62,4819.0
12,-61,4880.0
9,-59,4916.0
10,-61,4982.0
8,-59,5065.0
10,-57,5045.0
8,-57,5072.0
8,-54,5053.0
6,-53,5090.0
7,-51,5150.0
4,-51,5226.0
4,-48,5271.0
3,-47,5325.0
3,-46,5296.0
2,-44,5381.0
1,-43,5465.0
