Roll,Pitch,Area
-24,7,2594.5
-15,0,2636.0
-16,3,2693.0
-13,3,2707.5
-27,41,2075.0
-27,42,2093.0
-28,42,2115.0
-23,11,2570.0
-16,10,2504.0
-16,6,2394.0
-18,2,2397.0
-9,41,2469.0
-7,43,2382.0
-9,46,2370.0
-22,12,453.0
-37,25,4166.0
-37,26,4169.0
-35,24,4123.0
-35,21,4122.0
-35,19,4060.0
-7,21,4302.0
-12,21,4313.0
-14,24,4323.0
-19,22,4340.0
-20,25,4372.0
-34,24,4343.0
-39,24,4300.0
-43,23,4238.0
-48,20,4208.0
-49,21,4164.0
-49,16,4068.0
-50,13,3916.0
-49,9,3804.0
-49,6,3740.0
-45,3,3710.0
-42,1,3770.0
-39,1,3789.0
-32,1,3865.0
-30,1,3941.0
-35,35,3421.0
-15,3,2472.0
-13,1,2553.0
-13,2,2562.0
-14,2,2540.3333333333335
-14,1,2545.0
-13,9,2540.0
-12,11,2557.0
-9,14,2516.0
-18,42,1975.0
-21,40,2063.0
-21,39,2032.0
-23,39,2037.0
-26,40,2050.0
-26,41,2065.0
-29,42,2058.0
-12,-4,2144.0
-33,1,2194.0
-49,12,359.0
-10,32,2732.0
-21,46,2288.0
-28,51,2141.0
-30,49,2101.0
4,-10,2337.0
6,-10,2348.0
7,-9,2355.0
9,-9,2351.0
7,-7,2337.0
10,-5,2353.0
-13,10,391.0
-14,28,4128.0
-19,30,4205.0
-23,28,4137.0
-20,27,4150.5
-21,28,4131.0
-22,27,4158.0
-21,30,4098.0
-19,28,4067.0
-21,27,4095.0
-23,27,4055.0
-20,29,4136.0
-22,29,4125.0
-22,28,4156.0
-24,29,4124.0
-24,30,4099.0
-31,25,4124.0
-31,28,4174.0
-34,21,4022.0
-31,20,4045.0
-33,21,4029.0
-30,21,4132.0
-31,21,4104.0
-3,23,4121.0
-5,21,4275.0
-27,1,4060.0
-25,1,4106.0
-18,3,4142.0
-19,-10,4159.0
-21,-11,4196.0
-23,-12,4217.0
-16,-10,4205.0
-12,-10,4185.0
-12,-13,4160.0
-14,14,2498.0
-19,5,2408.0
-24,7,2461.0
-14,2,2491.25
-14,1,2476.0
-13,2,2505.0
-13,1,2502.0
-14,3,2472.0
-12,0,2497.0
-4,19,2502.0
0,22,2475.0
-11,-31,2340.0
-11,-29,2378.0
-9,-28,2334.0
3,-40,2328.0
3,-41,2315.0
22,-28,2230.0
-12,39,1927.0
-15,40,1949.0
-29,41,1957.0
-31,43,1898.0
-19,9,2522.0
-21,11,2484.0
-12,17,2167.0
-14,19,2164.0
-9,2,2154.0
14,-27,1922.0
5,-7,2030.0
2,-7,2046.0
-1,-7,2039.0
-23,47,2177.0
-26,49,2140.0
-26,48,2096.0
-27,50,2086.0
-34,48,2083.0
-35,47,2070.0
-34,49,2038.0
-33,50,2066.0
-33,52,2015.0
-34,51,1951.0
-30,50,1867.0
3,-5,2234.0
4,-7,2293.0
6,-10,2325.0
12,-3,2325.0
14,2,2283.0
13,3,2291.0
12,9,2295.0
12,12,2288.0
12,13,2308.0
13,13,2269.0
-20,11,4256.0
-18,11,4054.0
-43,-16,3539.0
-7,27,3913.0
-6,26,3952.0
-11,26,3975.0
-13,25,4021.0
-13,28,4068.0
-22,28,4047.0
-20,30,4064.0
-30,21,4113.0
-28,21,4108.0
-28,22,4072.0
-28,19,4036.0
4,15,4025.0
0,18,4096.0
-2,21,4100.0
-16,5,4161.0
-15,8,4158.0
-6,-16,4153.0
4,-12,4141.0
11,-14,4162.0
-19,13,2471.0
-10,16,2489.0
-7,15,2454.0
-6,15,2458.0
-4,15,2435.0
-2,15,2406.0
-2,14,2411.0
1,16,2307.0
-1,7,2286.0
-2,6,2331.5
4,24,2365.0
-46,4,2345.0
-7,-19,2311.0
-9,-21,2308.0
-13,-24,2326.0
-8,-29,2254.0
-5,-26,2261.0
-4,-27,2266.0
-6,-26,2282.0
-3,-27,2299.0
-2,-31,2313.0
-3,-34,2338.0
-3,-40,2317.0
-1,-42,2331.0
0,-44,2309.0
4,-36,2213.0
9,-27,2252.0
9,-26,2197.0
10,-26,2228.0
11,-28,2055.5
16,-28,2235.0
17,-28,2203.0
20,-29,2179.0
25,-22,2164.0
-8,40,1848.0
-10,41,1916.0
-30,43,1875.0
-30,42,1830.0
-24,8,2924.0
-20,9,2598.0
27,1,2081.0
10,-4,2034.0
5,-4,2039.0
-1,3,2080.0
-7,7,2097.0
-21,30,2390.0
-15,33,2456.0
-22,33,2426.0
7,-33,1882.0
4,-35,1860.0
