Roll,Pitch,Area
-14,9,3015.0
-15,11,3001.0
-13,9,2994.5
-16,9,2999.0
-15,9,2986.5
-15,8,3007.0
-14,8,2959.0
-12,10,2983.0
-11,9,2993.0
-12,9,3065.0
-12,8,3048.0
-17,6,3086.0
-20,4,3068.0
-14,11,3003.0
-14,10,2960.0
-13,8,3039.0
-19,4,3085.0
-22,2,3084.0
-24,1,3075.0
-25,1,3338.5
-27,-2,3205.0
-28,-2,3160.0
-27,-4,3159.0
-27,-3,3107.0
-26,-3,3070.0
-27,1,3072.0
-28,4,3045.0
-30,9,3054.0
-29,13,3053.5
-29,14,3067.0
-30,14,2945.5
-29,15,2952.0
-12,67,591.0
-14,64,550.0
-12,60,1340.0
-29,15,2918.0
-29,16,2976.75
-27,17,2947.0
-25,17,3016.0
-24,17,2988.0
-24,16,2974.0
-23,14,2993.0
-24,14,2984.0
-23,15,3009.0
-24,15,3075.0
-24,13,3073.0
-21,13,3090.0
-21,11,3105.0
-19,13,3059.0
-21,12,3100.0
-20,10,3034.0
-20,11,3050.0
-20,12,3107.0
42,1,3122.0
45,1,3033.0
46,1,3150.0
47,1,3052.0
68,-3,2272.0
84,-4,288.0
-13,62,2404.0
-13,63,2382.0
-12,65,2300.0
-12,66,2317.0
-13,65,2293.0
-11,67,2232.0
-12,67,2215.5
-11,68,2181.0
-13,67,2122.0
-12,69,2081.0
-11,71,2046.0
-12,71,1954.0
-13,72,2006.0
-12,72,1516.0
-11,73,1415.0
-13,71,1363.0
-10,72,1245.0
-14,59,1370.0
-14,56,1503.0
-13,56,2160.0
-14,55,2257.0
-14,53,2308.0
-14,49,2339.0
-14,48,2338.0
-14,43,2383.0
-13,43,2393.0
-15,37,2452.0
-15,31,2563.0
4,-20,3304.0
-20,11,3211.0
33,1,3575.0
39,1,3354.0
50,1,2751.0
52,-1,2557.0
55,-2,2531.0
59,-2,2485.0
64,1,2442.0
66,-4,2360.0
69,-4,2224.0
73,-5,2113.0
74,-4,2057.0
76,-4,2233.0
77,-5,1194.5
79,-3,1936.0
80,-4,1351.0
84,-5,1654.0
83,-6,1518.0
84,-6,1549.0
81,-8,1532.0
83,-7,1462.0
83,-5,749.0
79,-5,998.0
76,-3,890.0
75,-3,997.0
73,-3,1106.0
74,-3,1636.0
2,-3,3329.0
-5,4,3322.0
-11,27,3196.0
-12,27,3127.0
-12,28,3029.0
-11,29,2974.0
-11,30,3024.0
-13,28,2977.0
-14,31,2825.5
-13,31,2976.0
-13,33,2940.0
-11,37,2965.0
-13,38,2929.0
-13,41,2934.0
-12,41,2882.0
-14,41,2797.0
-13,43,2783.5
-13,44,2778.0
-13,46,2726.0
-13,47,2710.0
-14,46,2731.0
-14,47,2729.0
-14,48,2737.0
-13,50,2677.0
-14,52,2697.0
-13,54,2659.5
-13,57,2639.0
-14,58,2564.0
-13,59,2498.0
-13,60,2454.0
-13,62,2454.0
-15,25,2723.0
-15,24,2834.0
-15,22,2886.0
-15,18,2982.0
-1,-14,3315.0
1,-16,3335.0
3,-17,3327.0
3,-20,3293.0
4,-21,3556.0
5,-23,3437.0
5,-25,3522.0
7,-26,3281.0
6,-28,3231.0
5,-30,3382.5
4,-30,3411.0
4,-31,3254.0
5,-32,3323.0
7,-35,3324.0
-19,10,3294.0
-19,9,3342.0
-19,8,3414.0
-20,8,3399.0
-12,7,3504.0
4,11,3349.0
2,12,3333.0
-2,13,3285.0
-9,14,3313.0
-10,14,3356.0
6,7,3335.0
6,6,3293.0
6,-1,3295.0
12,-1,3274.0
16,-2,3301.0
20,-2,3269.0
29,-1,3338.0
80,-3,2074.0
84,-3,1711.0
83,-5,1700.0
80,-6,1728.0
74,-3,1834.0
73,-3,1847.0
72,-2,1909.0
70,-2,1882.0
69,-2,1879.0
67,-2,1917.0
66,-1,1984.5
-54,-12,1812.0
-52,-10,1803.0
-49,-10,1878.0
-44,-9,2559.0
-43,-8,2690.0
-41,-9,2696.0
-42,-8,2816.0
-40,-8,2908.5
-38,-8,2971.0
-38,-9,2988.0
-37,-8,3005.5
-36,-8,3027.0
-34,-8,3005.0
-34,-7,3008.0
-33,-7,3027.0
-29,-7,3013.0
-27,-7,3065.0
-24,-6,3133.0
-21,-6,3121.0
-22,-6,3166.0
-20,-6,3193.0
-17,-6,3260.0
-16,-6,3277.0
-14,-6,3317.0
-12,-6,3338.0
-10,-6,3333.0
-8,-6,3350.0
-7,-5,3342.0
-7,-6,3389.0
-5,-6,3355.0
-2,-4,3351.0
-1,-3,3345.0
-1,-4,3373.5
3,-4,3348.0
5,-4,3368.0
4,-3,3335.0
5,-3,3347.0
3,-3,3385.0
-6,1,3338.0
-8,6,3343.0
-10,10,3386.0
-10,15,3409.0
-9,19,3424.0
-10,21,3368.0
-9,22,3285.0
-10,25,3253.0
-9,26,3231.0
-14,17,3247.0
-15,14,3148.0
-14,13,3153.0
-14,8,3232.0
-13,6,3252.0
-13,5,3283.0
-12,3,3338.0
-11,3,3375.0
-15,20,3439.0
-15,23,3379.0
-16,25,3315.5
-13,26,3027.0
-13,25,3045.0
-14,24,3046.0
-3,1,3452.0
-1,-2,3425.0
-1,-6,3409.0
-1,-9,3415.0
-1,-11,3345.0
-1,-36,3173.0
-1,-37,3132.75
-1,-35,3079.0
-1,-34,3133.8571428571427
-1,-33,3108.3333333333335
-2,-33,3137.5
-2,-34,3147.5
-2,-35,3170.3333333333335
38,-10,3381.0
40,-8,3337.0
42,-6,3243.0
40,-6,3219.0
40,-2,3205.0
-6,8,3404.0
-2,8,3435.0
-1,7,3513.0
-2,9,3504.5
-2,7,3507.6666666666665
-3,7,3515.0
-1,9,3572.0
-3,8,3517.0
-3,9,3538.5
-4,10,3526.0
-2,10,3539.0
2,10,3508.0
7,11,3503.0
5,11,3502.0
4,11,3475.5
-11,13,3360.0
-7,14,3342.0
-18,12,3321.0
-24,12,3334.0
-27,11,3356.0
-31,10,3349.0
-30,10,3289.0
3,9,3313.0
25,-1,3382.0
60,1,2104.0
59,1,2120.0
57,1,2200.0
54,1,2385.0
54,2,2397.0
51,2,2458.0
50,1,2544.0
48,1,2603.0
47,2,2653.0
46,2,2681.0
44,1,2750.0
42,1,2859.0
-73,-17,2077.25
-72,-17,1908.0
-70,-18,1924.0
-71,-17,1870.0
-70,-17,1916.25
-71,-16,1838.0
-75,-14,1822.0
-46,-10,2097.0
-10,3,3411.0
-11,1,3407.0
-10,5,3414.0
-14,13,3473.0
-13,26,3337.3333333333335
-14,25,3282.0
-15,27,3231.0
-13,27,3396.0
-13,25,3072.0
-13,24,3157.25
-12,24,3211.0
-12,23,3240.0
-13,23,3214.5
-12,21,3243.0
-12,20,3261.0
-11,20,3328.0
-11,19,3318.0
-9,17,3334.0
-9,15,3383.0
-10,13,3361.0
-10,8,3358.0
-8,8,3418.5
-9,9,3464.0
-8,6,3488.0
-7,3,3562.0
-7,1,3536.0
-4,4,3508.0
-5,3,3527.0
-5,2,3494.0
-4,2,3477.0
7,-37,3297.0
9,-37,3314.0
9,-38,3324.0
8,-39,3264.0
9,-39,3189.0
10,-41,3125.0
11,-42,3109.0
12,-44,3139.0
13,-45,3046.0
12,-47,2957.0
12,-48,2953.0
11,-50,2886.0
10,-54,2863.0
11,-55,2819.0
10,-56,2792.0
12,-56,2727.0
13,-57,2662.0
12,-57,2616.0
15,-57,2633.0
13,-59,2540.0
16,-59,2485.0
-1,-34,3187.0
-2,-35,3208.85
-1,-35,3195.0
-1,-36,3173.0
-3,-35,3194.0
2,-38,3184.8333333333335
18,-55,3063.5
19,-56,2604.3333333333335
20,-56,2227.0
22,-59,2164.0
23,-59,2187.0
20,-61,2129.6666666666665
23,-58,2154.0
27,-55,2158.0
28,-54,2167.0
26,-56,2209.5
28,-55,2180.5
30,-53,2166.0
32,-52,2162.0
30,-52,2177.0
29,-53,2181.0
28,-53,2116.0
27,-53,2175.0
27,-52,2159.0
26,-53,2196.0
25,-53,2262.0
23,-52,2341.0
22,-51,2334.0
21,-52,2442.0
20,-51,2507.0
20,-50,2551.0
21,-50,2586.0
19,-49,2664.0
19,-48,2696.0
18,-48,2692.0
18,-47,2774.0
16,-46,2912.4285714285716
-1,-29,3157.0
-3,-26,3390.0
-2,-25,3490.0
-1,-8,3568.0
1,-9,3535.0
5,-6,3516.0
5,-5,3529.0
3,-3,3446.0
2,-4,3464.0
-1,-4,3508.0
-3,-1,3541.0
-4,1,3537.0
-5,1,3565.0
-30,10,3412.0
-31,10,3410.3333333333335
-30,9,3301.0
-21,9,3278.0
-13,9,3305.0
-10,9,3296.0
-3,9,3320.0
40,2,2962.0
39,1,2999.0
38,2,3034.0
37,2,3085.0
33,1,3148.0
33,3,3235.0
32,3,3218.0
29,3,3280.0
29,2,3318.0
26,2,3383.0
23,2,3419.5
22,1,3457.5
20,1,3469.0
18,1,3519.5
17,1,3532.0
14,1,3570.0
15,1,3564.0
13,1,3589.0
-1,-1,3678.0
-14,-3,3635.0
-17,-3,3633.0
-19,-4,3607.0
-45,-9,3258.0
-48,-10,3216.0
-50,-11,3164.0
-51,-13,3080.0
-52,-13,3025.0
