# Thu Mar 21 01:24:14 2024

#test,startt0,iter._st,after_ch,start_us,after_so,end_useT,sent_fro,after_fl,
63,0.00,2.79,0.02,0.43,0.01,0.04,0.00,0.04,48.74,0.42,
64,0.00,0.12,0.01,0.50,0.01,0.03,0.00,0.03,136.48,0.48,
65,0.00,0.12,0.02,0.26,0.01,0.03,0.00,0.03,39.60,0.25,
66,0.00,0.11,0.02,0.44,0.01,0.04,0.01,0.04,40.99,0.42,
67,0.00,0.09,0.01,0.40,0.01,0.04,0.01,0.05,53.61,0.38,
68,0.00,0.28,0.04,0.85,0.03,0.09,0.01,0.11,50.90,0.81,
69,0.00,0.13,0.02,0.48,0.01,0.04,0.00,0.06,64.41,0.46,
70,0.00,0.13,0.01,0.52,0.01,0.04,0.01,0.04,41.26,0.50,
71,0.00,0.08,0.01,0.42,0.01,0.05,0.01,0.07,44.01,0.40,
72,0.00,0.17,0.02,0.72,0.02,0.08,0.01,0.08,57.72,0.68,
73,0.00,0.15,0.02,0.75,0.02,0.04,0.00,0.04,29.47,0.72,
74,0.00,0.24,0.03,2.32,0.02,0.08,0.01,0.52,55.54,2.26,
75,0.00,0.23,0.03,2.99,0.03,0.08,0.01,3.24,48.62,2.92,
76,0.00,0.53,0.05,1.83,0.03,0.10,0.01,0.82,63.11,1.76,
77,0.00,0.99,0.05,1.07,0.02,0.08,0.01,3.05,86.57,1.03,
78,0.00,0.26,0.05,0.58,0.01,0.03,0.01,0.03,33.11,0.56,
79,0.00,0.19,0.01,0.45,0.01,0.07,0.01,0.08,30.80,0.43,
80,0.00,0.18,0.02,0.43,0.01,0.03,0.00,0.04,31.69,0.39,
81,0.00,0.12,0.01,0.56,0.01,0.03,0.00,0.04,41.24,0.54,
82,0.00,0.24,0.06,1.78,0.03,0.07,0.01,0.08,34.35,1.72,
83,0.00,0.12,0.01,0.73,0.01,0.03,0.00,0.03,39.15,0.71,
84,0.00,0.76,0.03,0.88,0.01,0.05,0.01,0.05,27.11,0.84,
85,0.00,0.22,0.02,0.62,0.12,0.07,0.01,0.05,33.31,0.60,
86,0.00,0.18,0.03,0.03,0.02,0.19,0.02,0.05,36.94,0.01,
87,0.00,0.11,0.01,0.55,0.01,0.04,0.01,0.04,41.31,0.53,
