-200 200 150 0 -45
-150 200 150 0 -45
-100 200 150 0 -45
-50 200 150 0 -45
0 200 150 0 -45
50 200 150 0 -45
100 200 150 0 -45
150 200 150 0 -45
200 200 150 0 -45
200 150 150 0 -45
150 150 150 0 -45
100 150 150 0 -45
50 150 150 0 -45
0 150 150 0 -45
-50 150 150 0 -45
-100 150 150 0 -45
-150 150 150 0 -45
-200 150 150 0 -45
-200 100 150 0 -45
-150 100 150 0 -45
-100 100 150 0 -45
-50 100 150 0 -45
0 100 150 0 -45
50 100 150 0 -45
100 100 150 0 -45
150 100 150 0 -45
200 100 150 0 -45
200 50 150 0 -45
150 50 150 0 -45
100 50 150 0 -45
50 50 150 0 -45
0 50 150 0 -45
-50 50 150 0 -45
-100 50 150 0 -45
-150 50 150 0 -45
-200 50 150 0 -45
